CustomerKey,Gender,Name,City,State Code,State,Zip Code,Country,Continent,Birthday,mes,anho,dia,nombre_mes
4811,Male,Brayden Bulcock,WIDGIEMOOLTHA,WA,Western Australia,6443,Australia,Australia,1994-12-21,12,1994,Wednesday,December
5097,Female,Bella Foley,Mount Pleasant,QLD,Queensland,4740,Australia,Australia,1942-11-13,11,1942,Friday,November
5445,Male,Jake Clibborn,REEFTON,VIC,Victoria,3799,Australia,Australia,1952-09-10,9,1952,Wednesday,September
5962,Male,Aiden Dugdale,SWAN BAY,NSW,New South Wales,2324,Australia,Australia,1938-11-17,11,1938,Thursday,November
6193,Female,Lara Cassidy,REGENCY PARK,SA,South Australia,5010,Australia,Australia,1945-12-27,12,1945,Thursday,December
6242,Male,Cody Grosse,KOOMBERKINE,WA,Western Australia,6461,Australia,Australia,1964-02-10,2,1964,Monday,February
6258,Male,Zac Hull,SANDFORD,VIC,Victoria,3312,Australia,Australia,1976-07-03,7,1976,Saturday,July
6308,Male,Taj Sexton,KOOREH,VIC,Victoria,3478,Australia,Australia,2001-02-15,2,2001,Thursday,February
6459,Male,Mitchell Leigh,KEILOR DOWNS,VIC,Victoria,3038,Australia,Australia,1942-05-24,5,1942,Sunday,May
6794,Female,Abby Hyam,CALDER,TAS,Tasmania,7325,Australia,Australia,1971-02-06,2,1971,Saturday,February
7109,Male,Hamish Bolton,LANKEYS CREEK,NSW,New South Wales,2644,Australia,Australia,1979-11-15,11,1979,Thursday,November
7122,Female,Lara Virtue,HIGGINSVILLE,WA,Western Australia,6443,Australia,Australia,1999-08-13,8,1999,Friday,August
7313,Female,Chelsea Keast,KANMANTOO,SA,South Australia,5252,Australia,Australia,1990-01-26,1,1990,Friday,January
7398,Male,Jonathan Thorpe,COOEE BAY,QLD,Queensland,4703,Australia,Australia,1945-06-10,6,1945,Sunday,June
7493,Male,Declan Torrens,NOORINDOO,QLD,Queensland,4417,Australia,Australia,1978-07-20,7,1978,Thursday,July
7494,Male,Ben Coventry,HYDE PARK,QLD,Queensland,4812,Australia,Australia,1967-04-02,4,1967,Sunday,April
7566,Male,William Prenzel,KILLARA,VIC,Victoria,3691,Australia,Australia,1993-07-01,7,1993,Thursday,July
7664,Male,Riley Gaffney,CANOWIE,SA,South Australia,5419,Australia,Australia,1947-03-18,3,1947,Tuesday,March
7700,Male,Lucas Keenan,STANWELL TOPS,NSW,New South Wales,2508,Australia,Australia,1975-01-27,1,1975,Monday,January
7725,Female,Anna Prerauer,CURRIMUNDI,QLD,Queensland,4551,Australia,Australia,1968-01-06,1,1968,Saturday,January
7783,Female,Charli Gullett,MOUNT WALLACE,VIC,Victoria,3342,Australia,Australia,1961-08-13,8,1961,Sunday,August
8098,Female,Alana Belt,SOUTH GREENOUGH,WA,Western Australia,6528,Australia,Australia,1967-01-26,1,1967,Thursday,January
8181,Female,Amelie Nairn,DARTMOUTH,VIC,Victoria,3701,Australia,Australia,1985-07-08,7,1985,Monday,July
8220,Male,David Blanch,Vista,SA,South Australia,5091,Australia,Australia,1945-07-29,7,1945,Sunday,July
8789,Female,Layla Mackellar,KALKARINDJI,NT,Northern Territory,852,Australia,Australia,1999-07-13,7,1999,Tuesday,July
8794,Female,Abbey Lempriere,BOULDER CREEK,QLD,Queensland,4714,Australia,Australia,1962-11-02,11,1962,Friday,November
8945,Female,Summer MacMahon,WARUMBUL,NSW,New South Wales,2229,Australia,Australia,1939-06-28,6,1939,Wednesday,June
9167,Male,Luke Bushby,PARACOMBE,SA,South Australia,5132,Australia,Australia,1975-12-02,12,1975,Tuesday,December
9184,Male,Sam Zimpel,CORUNNUN,VIC,Victoria,3249,Australia,Australia,1964-11-24,11,1964,Tuesday,November
9360,Male,Mitchell Adam,MOPARRABAH,NSW,New South Wales,2440,Australia,Australia,1955-01-30,1,1955,Sunday,January
9370,Female,Ruby Lock,Cook,ACT,Australian Capital Territory,2614,Australia,Australia,1953-05-26,5,1953,Tuesday,May
9389,Female,Eliza Brophy,YEARINAN,NSW,New South Wales,2357,Australia,Australia,1956-04-08,4,1956,Sunday,April
9456,Male,Ryder Abdullah,CLAREDALE,QLD,Queensland,4807,Australia,Australia,1941-05-21,5,1941,Wednesday,May
9812,Female,Kaitlyn Morshead,MINJARY,NSW,New South Wales,2720,Australia,Australia,1953-01-23,1,1953,Friday,January
9915,Female,Ebony Buxton,SEPPINGS,WA,Western Australia,6330,Australia,Australia,1991-11-10,11,1991,Sunday,November
10039,Female,Brianna Hann,NIKENBAH,QLD,Queensland,4655,Australia,Australia,1947-10-22,10,1947,Wednesday,October
10189,Female,Alexis Birchell,FOREST REEFS,NSW,New South Wales,2798,Australia,Australia,1962-04-07,4,1962,Saturday,April
10276,Male,Angus Bardolph,BATEAU BAY,NSW,New South Wales,2261,Australia,Australia,1972-11-01,11,1972,Wednesday,November
10299,Male,Anthony Macvitie,BEELBANGERA,NSW,New South Wales,2680,Australia,Australia,1937-05-27,5,1937,Thursday,May
10332,Male,James Burnage,Palmyra,WA,Western Australia,6157,Australia,Australia,1937-03-26,3,1937,Friday,March
10393,Male,Nicholas Moncrieff,ROSENTHAL HEIGHTS,QLD,Queensland,4370,Australia,Australia,1981-11-29,11,1981,Sunday,November
10395,Male,Cameron Dillon,STRATHERNE,WA,Western Australia,6309,Australia,Australia,1996-02-25,2,1996,Sunday,February
10481,Female,Piper Maudsley,CELLS RIVER,NSW,New South Wales,2324,Australia,Australia,1977-04-17,4,1977,Sunday,April
10504,Male,Daniel Rusconi,SOUTH DATATINE,WA,Western Australia,6317,Australia,Australia,1980-10-22,10,1980,Wednesday,October
10717,Male,Harrison Ingram,MAYA,WA,Western Australia,6614,Australia,Australia,1981-06-16,6,1981,Tuesday,June
11035,Female,Makayla Meldrum,KINGS FOREST,NSW,New South Wales,2487,Australia,Australia,1939-12-08,12,1939,Friday,December
11090,Female,Scarlett Scollen,SILVERWATER,NSW,New South Wales,2128,Australia,Australia,1953-01-20,1,1953,Tuesday,January
11587,Male,Andrew Fenbury,York,WA,Western Australia,6302,Australia,Australia,1977-11-09,11,1977,Wednesday,November
11736,Female,Summer Brownrigg,YARRABILBA,QLD,Queensland,4207,Australia,Australia,1991-01-22,1,1991,Tuesday,January
12084,Male,Toby Chauvel,GALGA,SA,South Australia,5308,Australia,Australia,1958-07-20,7,1958,Sunday,July
12160,Male,Jett Creal,Oakhurst,NSW,New South Wales,2761,Australia,Australia,1956-09-05,9,1956,Wednesday,September
12162,Female,Eva Lavarack,WHITTINGTON,VIC,Victoria,3219,Australia,Australia,1954-07-30,7,1954,Friday,July
12207,Male,Aiden Jull,OGMORE,QLD,Queensland,4706,Australia,Australia,1955-11-30,11,1955,Wednesday,November
12256,Female,Lilly Lynn,ROTHBURY,NSW,New South Wales,2320,Australia,Australia,1991-03-07,3,1991,Thursday,March
12365,Female,Natalie Lyon,STEEPLE FLAT,NSW,New South Wales,2631,Australia,Australia,1958-04-06,4,1958,Sunday,April
12385,Female,Lily Gribble,OVERLAND CORNER,SA,South Australia,5330,Australia,Australia,1981-06-10,6,1981,Wednesday,June
12392,Female,Laura Waterhouse,GREENHILL,SA,South Australia,5140,Australia,Australia,1957-03-08,3,1957,Friday,March
12649,Female,Rose Raven,NOBLE PARK NORTH,VIC,Victoria,3174,Australia,Australia,1965-12-11,12,1965,Saturday,December
12729,Male,Xavier Sturdee,STANNUM,NSW,New South Wales,2371,Australia,Australia,1937-10-14,10,1937,Thursday,October
12810,Male,Patrick Newbigin,Deer Park,VIC,Victoria,3023,Australia,Australia,1957-06-24,6,1957,Monday,June
12859,Male,Koby Rayment,NABAWA,WA,Western Australia,6532,Australia,Australia,1942-04-29,4,1942,Wednesday,April
12868,Male,Nathan Greville,MALLALA,SA,South Australia,5502,Australia,Australia,1961-03-12,3,1961,Sunday,March
13045,Female,Abbey Storkey,BLUE MOUNTAIN HEIGHTS,QLD,Queensland,4350,Australia,Australia,1957-10-19,10,1957,Saturday,October
13071,Female,Claudia Fuller,CUBALLING,WA,Western Australia,6311,Australia,Australia,1973-06-28,6,1973,Thursday,June
13232,Female,Maya Coates,UNLEY BC,SA,South Australia,5061,Australia,Australia,1985-08-12,8,1985,Monday,August
13365,Male,Mitchell Cutlack,MOONEM,NSW,New South Wales,2471,Australia,Australia,1961-01-02,1,1961,Monday,January
13607,Female,Gemma Maum,MAMBRAY CREEK,SA,South Australia,5495,Australia,Australia,1954-09-21,9,1954,Tuesday,September
14069,Male,Jacob Gairdner,ROB ROY,NSW,New South Wales,2360,Australia,Australia,1949-05-24,5,1949,Tuesday,May
14180,Female,Ava Lockyer,KALGOORLIE,WA,Western Australia,6430,Australia,Australia,1998-05-14,5,1998,Thursday,May
14275,Female,Dakota Dunshea,BENTLEY,NSW,New South Wales,2480,Australia,Australia,1979-05-02,5,1979,Wednesday,May
14906,Female,Grace Houghton,BOYER,TAS,Tasmania,7140,Australia,Australia,1982-11-16,11,1982,Tuesday,November
14962,Female,Mackenzie Newell,Crestwood,NSW,New South Wales,2153,Australia,Australia,1936-04-05,4,1936,Sunday,April
14988,Female,Emily Thirkell,WYNDHAM VALE,VIC,Victoria,3024,Australia,Australia,1958-07-24,7,1958,Thursday,July
15109,Female,Sara Marsden,WHALE BEACH,NSW,New South Wales,2107,Australia,Australia,1999-08-18,8,1999,Wednesday,August
15385,Male,Harry Morgans,DOONGIN,WA,Western Australia,6409,Australia,Australia,1995-05-11,5,1995,Thursday,May
15391,Female,Elizabeth Horsley,MARRAWEENEY,VIC,Victoria,3669,Australia,Australia,1989-01-25,1,1989,Wednesday,January
15569,Female,Chelsea Weekes,COLAC,VIC,Victoria,3250,Australia,Australia,1983-09-08,9,1983,Thursday,September
15718,Female,Natalie Tennant,DAKENBA,QLD,Queensland,4715,Australia,Australia,1957-02-20,2,1957,Wednesday,February
16193,Female,Isabelle Beggs,ALTONA,SA,South Australia,5351,Australia,Australia,1964-05-10,5,1964,Sunday,May
16282,Female,Evie Kirkhope,REIDS FLAT,NSW,New South Wales,2586,Australia,Australia,2000-05-11,5,2000,Thursday,May
16716,Female,Abby Frater,KAYUGA,NSW,New South Wales,2333,Australia,Australia,1987-12-16,12,1987,Wednesday,December
17412,Male,Mitchell Kwok,VICTORIA PARK,WA,Western Australia,6100,Australia,Australia,1969-08-31,8,1969,Sunday,August
17811,Female,Alicia Hoy,WATTLE GLEN,VIC,Victoria,3096,Australia,Australia,1985-10-15,10,1985,Tuesday,October
18067,Male,Rory Koerstz,MOUNT MCKENZIE,SA,South Australia,5353,Australia,Australia,1941-10-26,10,1941,Sunday,October
18263,Male,Callum Semmens,RURAL VIEW,QLD,Queensland,4740,Australia,Australia,1978-06-01,6,1978,Thursday,June
18309,Male,Michael Vogt,FYANS CREEK,VIC,Victoria,3381,Australia,Australia,1992-01-07,1,1992,Tuesday,January
18470,Male,Zac Pryor,GOSFORD,NSW,New South Wales,2250,Australia,Australia,1969-03-12,3,1969,Wednesday,March
18493,Male,George Kevin,TASCOTT,NSW,New South Wales,2250,Australia,Australia,1994-09-27,9,1994,Tuesday,September
18714,Male,Ashton Aitken,PINWERNYING,WA,Western Australia,6317,Australia,Australia,1972-08-13,8,1972,Sunday,August
18887,Female,Zara Castleton,BOOROLITE,VIC,Victoria,3723,Australia,Australia,1978-11-25,11,1978,Saturday,November
19082,Male,Matthew Denman,RANSOME,QLD,Queensland,4154,Australia,Australia,1939-04-06,4,1939,Thursday,April
19207,Male,Luke Casimaty,KURRACA,VIC,Victoria,3518,Australia,Australia,1991-01-19,1,1991,Saturday,January
19404,Male,Cody O'Hea,WYNNUM,QLD,Queensland,4178,Australia,Australia,1997-06-10,6,1997,Tuesday,June
19534,Female,Leah Martin,TOOBORAC,VIC,Victoria,3522,Australia,Australia,1964-12-13,12,1964,Sunday,December
19579,Female,Ava Reye,BARCALDINE,QLD,Queensland,4725,Australia,Australia,1949-10-16,10,1949,Sunday,October
19726,Female,Victoria Daly,WATANOBBI,NSW,New South Wales,2259,Australia,Australia,1973-01-28,1,1973,Sunday,January
19732,Female,Olivia Moresby,WAPPILKA,SA,South Australia,5332,Australia,Australia,1981-08-31,8,1981,Monday,August
19753,Female,Alyssa Solander,HOWTH,TAS,Tasmania,7316,Australia,Australia,1995-10-21,10,1995,Saturday,October
19916,Male,Hunter Samuel,LITTLE PLAIN,NSW,New South Wales,2360,Australia,Australia,1991-05-13,5,1991,Monday,May
20069,Male,Jesse Parry-Okeden,GWINDINUP,WA,Western Australia,6237,Australia,Australia,1980-11-24,11,1980,Monday,November
20092,Female,Victoria Fitzsimmons,CAMBRIDGE GARDENS,NSW,New South Wales,2747,Australia,Australia,1947-05-03,5,1947,Saturday,May
20237,Male,Riley Montefiore,WILLIAMSTOWN,VIC,Victoria,3016,Australia,Australia,1986-07-14,7,1986,Monday,July
20623,Female,Eva Rendall,CARLYLE,VIC,Victoria,3685,Australia,Australia,1994-03-11,3,1994,Friday,March
20802,Male,Ben Whitworth,POLDA,SA,South Australia,5670,Australia,Australia,1945-07-07,7,1945,Saturday,July
20946,Female,Taylah Walstab,WINTHROP,WA,Western Australia,6150,Australia,Australia,1999-11-04,11,1999,Thursday,November
21203,Male,Tristan Dobie,CHARTWELL,VIC,Victoria,3030,Australia,Australia,1960-02-18,2,1960,Thursday,February
21387,Male,Christian Hughes,CREMORNE,NSW,New South Wales,2090,Australia,Australia,1970-01-26,1,1970,Monday,January
21424,Male,Justin Tickell,HEYTESBURY LOWER,VIC,Victoria,3268,Australia,Australia,1940-07-29,7,1940,Monday,July
21460,Female,Kayla De Beuzeville,GLENLYNN,WA,Western Australia,6256,Australia,Australia,1957-11-01,11,1957,Friday,November
21523,Male,Jayden Rennie,SWANHAVEN,NSW,New South Wales,2540,Australia,Australia,1969-12-06,12,1969,Saturday,December
21575,Male,Zac Chumleigh,CRAIGIE,WA,Western Australia,6025,Australia,Australia,1991-12-29,12,1991,Sunday,December
21654,Female,Amber Monger,PARLIAMENT HOUSE,SA,South Australia,5000,Australia,Australia,1950-02-03,2,1950,Friday,February
21819,Female,Matilda Blacklock,Cleveland,TAS,Tasmania,7211,Australia,Australia,2000-06-18,6,2000,Sunday,June
21870,Female,Summer Gramp,BELTANA,SA,South Australia,5730,Australia,Australia,1991-11-23,11,1991,Saturday,November
22158,Male,Will Parer,CHURCH POINT,NSW,New South Wales,2105,Australia,Australia,1996-12-10,12,1996,Tuesday,December
22384,Male,Jaxon Cox,PEARCE,ACT,Australian Capital Territory,2607,Australia,Australia,1951-01-24,1,1951,Wednesday,January
22540,Male,Connor Ruwolt,BANDYA,WA,Western Australia,6440,Australia,Australia,1989-06-12,6,1989,Monday,June
22775,Male,Flynn Campion,NEEDLES,TAS,Tasmania,7304,Australia,Australia,1958-08-27,8,1958,Wednesday,August
22826,Male,Edward Putilin,ASHFIELD,QLD,Queensland,4670,Australia,Australia,1976-09-25,9,1976,Saturday,September
23128,Male,Zane Sinclaire,SUMMERLANDS,VIC,Victoria,3922,Australia,Australia,2000-01-02,1,2000,Sunday,January
23203,Female,Gemma Philipp,MADORA BAY,WA,Western Australia,6210,Australia,Australia,1998-08-11,8,1998,Tuesday,August
23267,Female,Gabrielle Zinnbauer,FLINDERS VIEW,QLD,Queensland,4305,Australia,Australia,1954-04-18,4,1954,Sunday,April
23320,Female,Samantha Weigel,WITTENOOM,WA,Western Australia,6751,Australia,Australia,1960-04-15,4,1960,Friday,April
23431,Female,Grace Scarf,SHEEP HILLS,VIC,Victoria,3392,Australia,Australia,1970-10-27,10,1970,Tuesday,October
23599,Female,Maddison Blanc,FORRESTERS BEACH,NSW,New South Wales,2260,Australia,Australia,1989-10-12,10,1989,Thursday,October
23854,Male,Ali Wroblewski,MURRAWOMBIE,NSW,New South Wales,2825,Australia,Australia,1943-01-02,1,1943,Saturday,January
24069,Male,Edward Carron,ULMARRA,NSW,New South Wales,2462,Australia,Australia,1985-05-20,5,1985,Monday,May
24230,Female,Zoe Dadswell,DAVOREN PARK SOUTH,SA,South Australia,5113,Australia,Australia,1979-10-26,10,1979,Friday,October
24575,Female,Stella O'Mahony,PLACID HILLS,QLD,Queensland,4343,Australia,Australia,2000-06-07,6,2000,Wednesday,June
24920,Female,Natalie Robey,CORNY POINT,SA,South Australia,5575,Australia,Australia,1938-04-17,4,1938,Sunday,April
25308,Female,Angelina Kates,WEST WIANGAREE,NSW,New South Wales,2474,Australia,Australia,1987-03-12,3,1987,Thursday,March
25771,Female,Mikayla Shenton,BOOLCARROLL,NSW,New South Wales,2388,Australia,Australia,1959-07-26,7,1959,Sunday,July
25864,Male,Zane Corkill,SHIRLEY,VIC,Victoria,3373,Australia,Australia,1995-05-05,5,1995,Friday,May
25935,Male,Charlie D'Arcy,BURNT YARDS,NSW,New South Wales,2792,Australia,Australia,1975-01-13,1,1975,Monday,January
26458,Male,George Creer,Westbury,VIC,Victoria,3825,Australia,Australia,1979-04-28,4,1979,Saturday,April
26477,Male,Caleb Willshire,MORISSET,NSW,New South Wales,2264,Australia,Australia,1959-11-05,11,1959,Thursday,November
26642,Male,Noah Moloney,ELIZABETH BEACH,NSW,New South Wales,2428,Australia,Australia,1978-09-30,9,1978,Saturday,September
26728,Female,Gemma Allan,MARRICKVILLE SOUTH,NSW,New South Wales,2204,Australia,Australia,1979-01-18,1,1979,Thursday,January
26906,Male,Xavier McPhee,CLEMTON PARK,NSW,New South Wales,2206,Australia,Australia,1974-06-16,6,1974,Sunday,June
26914,Female,Amelia England,MOUNT COTTRELL,VIC,Victoria,3024,Australia,Australia,1940-10-10,10,1940,Thursday,October
26970,Female,Rose Frater,BENDIGO SOUTH,VIC,Victoria,3550,Australia,Australia,1990-11-12,11,1990,Monday,November
27125,Female,Ashley Hornung,ARNO BAY,SA,South Australia,5603,Australia,Australia,1976-03-16,3,1976,Tuesday,March
27210,Male,Liam Osborn,MOOTAI,NSW,New South Wales,2325,Australia,Australia,1973-07-02,7,1973,Monday,July
27356,Male,Hamish D'Hage,TURRAMURRA,NSW,New South Wales,2074,Australia,Australia,1969-10-02,10,1969,Thursday,October
27432,Female,Mikayla Favenc,CLEVE,SA,South Australia,5640,Australia,Australia,1998-09-26,9,1998,Saturday,September
27492,Female,Bianca Coombe,YAMBUK,VIC,Victoria,3285,Australia,Australia,1987-11-04,11,1987,Wednesday,November
27616,Male,Cameron Tebbutt,BANNOCKBURN,VIC,Victoria,3331,Australia,Australia,1987-05-17,5,1987,Sunday,May
27896,Male,Zachary McLeish,JACUP,WA,Western Australia,6337,Australia,Australia,1973-10-17,10,1973,Wednesday,October
27945,Male,Charlie Stralia,SOFALA,NSW,New South Wales,2795,Australia,Australia,1974-05-20,5,1974,Monday,May
28076,Female,Alannah Onus,AVOCA,TAS,Tasmania,7213,Australia,Australia,1979-01-02,1,1979,Tuesday,January
28559,Male,Samuel Israel,YILKI,SA,South Australia,5211,Australia,Australia,1968-12-07,12,1968,Saturday,December
28690,Male,Leo Walcott,MILLCHESTER,QLD,Queensland,4820,Australia,Australia,1987-09-12,9,1987,Saturday,September
28702,Female,Charli Lhotsky,DREWVALE,QLD,Queensland,4116,Australia,Australia,1966-06-30,6,1966,Thursday,June
29041,Male,Logan Barling,LINDENOW,VIC,Victoria,3865,Australia,Australia,1937-11-14,11,1937,Sunday,November
29278,Male,Justin Hartog,PINEVALE,QLD,Queensland,4754,Australia,Australia,1990-09-04,9,1990,Tuesday,September
29303,Male,Max Cohn,KIRTON POINT,SA,South Australia,5606,Australia,Australia,1983-05-01,5,1983,Sunday,May
29320,Male,Levi Barraclough,BLACKBUTT,NSW,New South Wales,2529,Australia,Australia,1938-10-14,10,1938,Friday,October
29475,Female,Madison Pocock,TUROSS,NSW,New South Wales,2630,Australia,Australia,1965-07-03,7,1965,Saturday,July
29555,Male,Owen Edouard,GLEN MARTIN,NSW,New South Wales,2321,Australia,Australia,1992-07-03,7,1992,Friday,July
29593,Male,Liam Nettleton,BAKARA,SA,South Australia,5354,Australia,Australia,1995-08-18,8,1995,Friday,August
29647,Female,Jessica Maynard,BRENDA,NSW,New South Wales,2831,Australia,Australia,1956-05-28,5,1956,Monday,May
29689,Female,Alexis Phillipps,BURWOOD HEIGHTS,NSW,New South Wales,2136,Australia,Australia,1966-08-28,8,1966,Sunday,August
29812,Male,Marcus Napier,ST KILDA ROAD CENTRAL,VIC,Victoria,3004,Australia,Australia,1966-11-19,11,1966,Saturday,November
29837,Female,Rebecca Jaques,MOUNT GEORGE,NSW,New South Wales,2424,Australia,Australia,1938-08-14,8,1938,Sunday,August
29973,Female,Lauren Langton,DUCKINWILLA,QLD,Queensland,4650,Australia,Australia,1937-09-24,9,1937,Friday,September
30090,Male,George Farrer,PARK AVENUE,QLD,Queensland,4701,Australia,Australia,1960-10-07,10,1960,Friday,October
30278,Female,Madeleine Kiddle,JACANA,VIC,Victoria,3047,Australia,Australia,1945-09-12,9,1945,Wednesday,September
30428,Female,Sienna Conrick,EARLSTON,VIC,Victoria,3669,Australia,Australia,1999-12-01,12,1999,Wednesday,December
31086,Female,Kate Snowden,WITTENOOM,WA,Western Australia,6751,Australia,Australia,1985-01-30,1,1985,Wednesday,January
31164,Male,Hunter Boehm,BOWES,WA,Western Australia,6535,Australia,Australia,1948-06-15,6,1948,Tuesday,June
31236,Female,Abby Warburton,THREE BRIDGES,VIC,Victoria,3797,Australia,Australia,1959-08-08,8,1959,Saturday,August
31288,Male,Adam Banning,CLAY WELLS,SA,South Australia,5280,Australia,Australia,1988-08-28,8,1988,Sunday,August
31374,Female,Ellie Griffin,ST AGNES,SA,South Australia,5097,Australia,Australia,1960-12-02,12,1960,Friday,December
31721,Female,Alyssa Isaacs,GULFVIEW HEIGHTS,SA,South Australia,5096,Australia,Australia,1961-01-19,1,1961,Thursday,January
31784,Male,Zac Scherk,WAMBAN,NSW,New South Wales,2537,Australia,Australia,1968-01-02,1,1968,Tuesday,January
32037,Male,Aaron Knopwood,LAKE MOKOAN,VIC,Victoria,3673,Australia,Australia,1989-02-14,2,1989,Tuesday,February
32190,Female,Paige Lacey,DELAMERE,SA,South Australia,5204,Australia,Australia,1954-10-28,10,1954,Thursday,October
32259,Female,Ashley Dane?,SEVENHILL,SA,South Australia,5453,Australia,Australia,1975-11-21,11,1975,Friday,November
32294,Male,Kai Nepean,RITE ISLAND,QLD,Queensland,4807,Australia,Australia,1948-08-04,8,1948,Wednesday,August
32455,Female,Charlotte Crane,MOSQUITO CREEK,QLD,Queensland,4387,Australia,Australia,1997-05-09,5,1997,Friday,May
32488,Male,Max Wylie,STAFFORD DC,QLD,Queensland,4053,Australia,Australia,1954-03-15,3,1954,Monday,March
32511,Male,Jasper Glassop,Woodford,NSW,New South Wales,2463,Australia,Australia,1964-02-29,2,1964,Saturday,February
